lotteryDrawTime,lotteryDrawNum,lotteryDrawResult,red_1,red_2,red_3,red_4,red_5,blue_1,blue_2
2025-07-16,25080,09 10 18 22 24 03 12,9,10,18,22,24,3,12
2025-07-14,25079,02 14 32 34 35 05 11,2,14,32,34,35,5,11
2025-07-12,25078,07 10 15 21 24 05 06,7,10,15,21,24,5,6
2025-07-09,25077,12 14 16 19 28 01 04,12,14,16,19,28,1,4
2025-07-07,25076,11 18 22 25 29 04 12,11,18,22,25,29,4,12
2025-07-05,25075,08 12 16 19 35 06 09,8,12,16,19,35,6,9
2025-07-02,25074,02 11 15 18 21 05 10,2,11,15,18,21,5,10
2025-06-30,25073,01 04 17 33 34 03 09,1,4,17,33,34,3,9
2025-06-28,25072,04 07 15 24 29 01 04,4,7,15,24,29,1,4
2025-06-25,25071,01 08 25 31 33 05 11,1,8,25,31,33,5,11
2025-06-23,25070,08 09 15 20 22 04 12,8,9,15,20,22,4,12
2025-06-21,25069,04 06 07 33 34 09 10,4,6,7,33,34,9,10
2025-06-18,25068,01 04 17 20 22 04 10,1,4,17,20,22,4,10
2025-06-16,25067,06 10 12 21 22 01 06,6,10,12,21,22,1,6
2025-06-14,25066,15 18 27 28 34 03 06,15,18,27,28,34,3,6
2025-06-11,25065,07 25 32 33 35 04 09,7,25,32,33,35,4,9
2025-06-09,25064,05 10 18 20 34 01 08,5,10,18,20,34,1,8
2025-06-07,25063,05 18 26 29 32 07 10,5,18,26,29,32,7,10
2025-06-04,25062,14 20 27 28 29 06 10,14,20,27,28,29,6,10
2025-06-02,25061,02 11 16 23 28 05 10,2,11,16,23,28,5,10
2025-05-31,25060,12 14 19 33 34 01 07,12,14,19,33,34,1,7
2025-05-28,25059,03 09 10 11 26 01 02,3,9,10,11,26,1,2
2025-05-26,25058,06 11 15 21 23 01 07,6,11,15,21,23,1,7
2025-05-24,25057,09 10 11 12 29 01 10,9,10,11,12,29,1,10
2025-05-21,25056,12 15 28 29 32 08 11,12,15,28,29,32,8,11
2025-05-19,25055,08 10 25 29 30 01 02,8,10,25,29,30,1,2
2025-05-17,25054,03 12 16 21 29 01 02,3,12,16,21,29,1,2
2025-05-14,25053,14 23 29 30 33 06 12,14,23,29,30,33,6,12
2025-05-12,25052,02 04 11 29 30 02 08,2,4,11,29,30,2,8
2025-05-10,25051,02 04 13 29 31 05 12,2,4,13,29,31,5,12
2025-05-07,25050,15 18 20 21 34 04 10,15,18,20,21,34,4,10
2025-05-05,25049,09 20 22 29 34 03 08,9,20,22,29,34,3,8
2025-05-03,25048,02 06 17 23 35 06 11,2,6,17,23,35,6,11
2025-04-30,25047,03 10 11 12 21 02 03,3,10,11,12,21,2,3
2025-04-28,25046,04 10 15 20 34 04 07,4,10,15,20,34,4,7
2025-04-26,25045,08 11 21 23 27 03 08,8,11,21,23,27,3,8
